,ip_address,web_source,datetime,get_log,number_log_1,number_log_2,web_source_features,specification,TLS,tls_num1,tls_num2,tls_num3,status_tls,status_num,NC,up
0,115.178.207.54,www.smart-tbk.com,2022-10-06 04:34:45,GET /gar-kupas-sejumlah-tantangan-dalam-membangun-tenaga-kerja-perkebunan-yang-berkelanjutan/ HTTP/1.1,200.0,51356.0,https://www.smart-tbk.com/kabar-peristiwa/pers/,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0),TLSv1.2,0.436,0.44,0.765,MISS,0.0,NC:000000,UP:-
2,115.178.207.54,www.smart-tbk.com,2022-10-06 04:34:43,GET /pt-smart-sajikan-tema-quottaste-of-springquot-pada-sial-interfood-indonesia-2016-melalui-produk-produk-inovatif-dan-baking-demo-chef-profesional HTTP/1.1,301.0,0.0,https://www.smart-tbk.com/,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0),TLSv1.2,0.196,0.196,0.196,MISS,0.0,NC:000000,UP:-
4,115.178.207.54,www.smart-tbk.com,2022-10-06 04:34:43,GET /pt-smart-sajikan-tema-quottaste-of-springquot-pada-sial-interfood-indonesia-2016-melalui-produk-produk-inovatif-dan-baking-demo-chef-profesional/ HTTP/1.1,200.0,51586.0,https://www.smart-tbk.com/pt-smart-sajikan-tema-quottaste-of-springquot-pada-sial-interfood-indonesia-2016-melalui-produk-produk-inovatif-dan-baking-demo-chef-profesional,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0),TLSv1.2,,,0.024,HIT,0.0,NC:000000,UP:-
6,115.178.207.54,www.smart-tbk.com,2022-10-06 04:34:42,GET /pt-smart-sajikan-tema-quottaste-of-springquot-pada-sial-interfood-indonesia-2016-melalui-produk-produk-inovatif-dan-baking-demo-chef-profesional HTTP/1.1,301.0,0.0,,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0),TLSv1.2,0.249,0.249,0.249,MISS,0.0,NC:000000,UP:-
8,115.178.207.54,www.smart-tbk.com,2022-10-06 04:34:42,GET /pt-smart-sajikan-tema-quottaste-of-springquot-pada-sial-interfood-indonesia-2016-melalui-produk-produk-inovatif-dan-baking-demo-chef-profesional/ HTTP/1.1,200.0,51594.0,https://www.smart-tbk.com/,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0),TLSv1.2,,,0.0,HIT,0.0,NC:000000,UP:-
10,115.178.207.54,www.smart-tbk.com,2022-10-06 04:34:41,GET /pt-smart-sajikan-tema-quottaste-of-springquot-pada-sial-interfood-indonesia-2016-melalui-produk-produk-inovatif-dan-baking-demo-chef-profesional/ HTTP/1.1,200.0,51586.0,https://www.smart-tbk.com/kabar-peristiwa/pers/,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0),TLSv1.2,0.433,0.437,0.934,MISS,0.0,NC:000000,UP:-
12,115.178.207.54,www.smart-tbk.com,2022-10-06 04:34:40,GET /pabrik-kelapa-sawit-yang-dikelola-pt-smart-raih-peringkat-hijau-dalam-penilaian-proper HTTP/1.1,301.0,0.0,https://www.smart-tbk.com/,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0),TLSv1.2,0.238,0.238,0.238,MISS,0.0,NC:000000,UP:-
14,120.188.92.41,www.smart-tbk.com,2022-10-06 04:34:40,GET /favicon.ico HTTP/2.0,200.0,15086.0,https://www.smart-tbk.com/biofuel-sumber-energi-alternatif/,"Mozilla/5.0 (Linux; Android 10; CPH2185) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Mobile Safari/537.36",TLSv1.3,,,0.0,,0.0,NC:000000,UP:-DT
16,115.178.207.54,www.smart-tbk.com,2022-10-06 04:34:39,GET /pabrik-kelapa-sawit-yang-dikelola-pt-smart-raih-peringkat-hijau-dalam-penilaian-proper/ HTTP/1.1,200.0,51346.0,https://www.smart-tbk.com/pabrik-kelapa-sawit-yang-dikelola-pt-smart-raih-peringkat-hijau-dalam-penilaian-proper,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0),TLSv1.2,,,0.028,HIT,0.0,NC:000000,UP:-
18,115.178.207.54,www.smart-tbk.com,2022-10-06 04:34:39,GET /pabrik-kelapa-sawit-yang-dikelola-pt-smart-raih-peringkat-hijau-dalam-penilaian-proper HTTP/1.1,301.0,0.0,,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0),TLSv1.2,0.29,0.29,0.29,MISS,0.0,NC:000000,UP:-
20,115.178.207.54,www.smart-tbk.com,2022-10-06 04:34:38,GET /pabrik-kelapa-sawit-yang-dikelola-pt-smart-raih-peringkat-hijau-dalam-penilaian-proper/ HTTP/1.1,200.0,51347.0,https://www.smart-tbk.com/,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0),TLSv1.2,0.354,0.357,0.666,MISS,0.0,NC:000000,UP:-
22,115.178.207.54,www.smart-tbk.com,2022-10-06 04:34:37,GET /pabrik-kelapa-sawit-yang-dikelola-pt-smart-raih-peringkat-hijau-dalam-penilaian-proper/ HTTP/1.1,200.0,51346.0,https://www.smart-tbk.com/kabar-peristiwa/pers/,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0),TLSv1.2,0.351,0.355,0.935,MISS,0.0,NC:000000,UP:-
24,115.178.207.54,www.smart-tbk.com,2022-10-06 04:34:36,GET /pt-smart-tbk-kembangkan-unsur-unsur-program-pencegahan-kebakaran-yang-berhasil-dilaksanakannya-pada-tahun-2017 HTTP/1.1,301.0,0.0,https://www.smart-tbk.com/,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0),TLSv1.2,0.225,0.225,0.225,MISS,0.0,NC:000000,UP:-
26,115.178.207.54,www.smart-tbk.com,2022-10-06 04:34:36,GET /pt-smart-tbk-kembangkan-unsur-unsur-program-pencegahan-kebakaran-yang-berhasil-dilaksanakannya-pada-tahun-2017/ HTTP/1.1,200.0,51437.0,https://www.smart-tbk.com/pt-smart-tbk-kembangkan-unsur-unsur-program-pencegahan-kebakaran-yang-berhasil-dilaksanakannya-pada-tahun-2017,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0),TLSv1.2,,,0.024,HIT,0.0,NC:000000,UP:-
28,115.178.207.54,www.smart-tbk.com,2022-10-06 04:34:35,GET /pt-smart-tbk-kembangkan-unsur-unsur-program-pencegahan-kebakaran-yang-berhasil-dilaksanakannya-pada-tahun-2017 HTTP/1.1,301.0,0.0,,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0),TLSv1.2,0.204,0.204,0.204,MISS,0.0,NC:000000,UP:-
30,115.178.207.54,www.smart-tbk.com,2022-10-06 04:34:35,GET /pt-smart-tbk-kembangkan-unsur-unsur-program-pencegahan-kebakaran-yang-berhasil-dilaksanakannya-pada-tahun-2017/ HTTP/1.1,200.0,51437.0,https://www.smart-tbk.com/,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0),TLSv1.2,0.366,0.37,0.37,MISS,0.0,NC:000000,UP:-
32,115.178.207.54,www.smart-tbk.com,2022-10-06 04:34:34,GET /pt-smart-tbk-kembangkan-unsur-unsur-program-pencegahan-kebakaran-yang-berhasil-dilaksanakannya-pada-tahun-2017/ HTTP/1.1,200.0,51437.0,https://www.smart-tbk.com/kabar-peristiwa/pers/,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0),TLSv1.2,0.368,0.372,0.568,MISS,0.0,NC:000000,UP:-
34,2001:448a:2002:b573:1c5b:a57c:f431:83aa,www.smart-tbk.com,2022-10-06 04:34:34,GET /wp-content/uploads/2020/11/seed-to-shelves-768x510.jpg HTTP/2.0,200.0,115671.0,https://www.smart-tbk.com/minyak-sawit-bahan-pangan-penting-untuk-memerangi-kelaparan-global/,"Mozilla/5.0 (Linux; Android 10; CPH2137) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Mobile Safari/537.36",TLSv1.3,,,0.011,,0.0,NC:000000,UP:-DT
36,115.178.207.54,www.smart-tbk.com,2022-10-06 04:34:33,GET /filma-dan-palmboom-diluncurkan-kembali-produk-dengan-formula-lebih-baik-dan-kemasan-baru HTTP/1.1,301.0,0.0,https://www.smart-tbk.com/,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0),TLSv1.2,0.243,0.243,0.243,MISS,0.0,NC:000000,UP:-
38,115.178.207.54,www.smart-tbk.com,2022-10-06 04:34:33,GET /filma-dan-palmboom-diluncurkan-kembali-produk-dengan-formula-lebih-baik-dan-kemasan-baru/ HTTP/1.1,200.0,51342.0,https://www.smart-tbk.com/filma-dan-palmboom-diluncurkan-kembali-produk-dengan-formula-lebih-baik-dan-kemasan-baru,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0),TLSv1.2,,,0.239,HIT,0.0,NC:000000,UP:-
40,2001:448a:2002:b573:1c5b:a57c:f431:83aa,www.smart-tbk.com,2022-10-06 04:34:33,GET /wp-content/uploads/2020/11/hungry-and-vulnerable-equals-768x272.jpg HTTP/2.0,200.0,43993.0,https://www.smart-tbk.com/minyak-sawit-bahan-pangan-penting-untuk-memerangi-kelaparan-global/,"Mozilla/5.0 (Linux; Android 10; CPH2137) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Mobile Safari/537.36",TLSv1.3,,,0.001,,0.0,NC:000000,UP:-DT
42,115.178.207.54,www.smart-tbk.com,2022-10-06 04:34:32,GET /filma-dan-palmboom-diluncurkan-kembali-produk-dengan-formula-lebih-baik-dan-kemasan-baru HTTP/1.1,301.0,0.0,,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0),TLSv1.2,0.283,0.283,0.283,MISS,0.0,NC:000000,UP:-
44,120.188.92.41,www.smart-tbk.com,2022-10-06 04:34:32,GET /wp-admin/admin-ajax.php?postviews_id=31745&action=postviews&_=1665030870533 HTTP/2.0,200.0,6.0,https://www.smart-tbk.com/biofuel-sumber-energi-alternatif/,"Mozilla/5.0 (Linux; Android 10; CPH2185) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Mobile Safari/537.36",TLSv1.3,0.497,0.497,0.497,MISS,0.0,NC:000000,UP:SKIP_CACHE_NO_CACHE
46,115.178.207.54,www.smart-tbk.com,2022-10-06 04:34:32,GET /filma-dan-palmboom-diluncurkan-kembali-produk-dengan-formula-lebih-baik-dan-kemasan-baru/ HTTP/1.1,200.0,51344.0,https://www.smart-tbk.com/,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0),TLSv1.2,0.377,0.377,0.529,EXPIRED,0.0,NC:000000,UP:-
48,120.188.92.41,www.smart-tbk.com,2022-10-06 04:34:32,GET /wp-content/uploads/2017/05/10-Products-cover-image.png HTTP/2.0,200.0,1078319.0,https://www.smart-tbk.com/biofuel-sumber-energi-alternatif/,"Mozilla/5.0 (Linux; Android 10; CPH2185) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Mobile Safari/537.36",TLSv1.3,,,0.141,,0.0,NC:000000,UP:-DT
50,120.188.92.41,www.smart-tbk.com,2022-10-06 04:34:31,GET /wp-content/uploads/2017/03/faq-edit.jpg HTTP/2.0,200.0,118667.0,https://www.smart-tbk.com/biofuel-sumber-energi-alternatif/,"Mozilla/5.0 (Linux; Android 10; CPH2185) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Mobile Safari/537.36",TLSv1.3,,,0.0,,0.0,NC:000000,UP:-DT
52,120.188.92.41,www.smart-tbk.com,2022-10-06 04:34:31,GET /wp-content/uploads/2017/07/Biofuel-Icon.jpg HTTP/2.0,200.0,99670.0,https://www.smart-tbk.com/biofuel-sumber-energi-alternatif/,"Mozilla/5.0 (Linux; Android 10; CPH2185) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Mobile Safari/537.36",TLSv1.3,,,0.0,,0.0,NC:000000,UP:-DT
54,120.188.92.41,www.smart-tbk.com,2022-10-06 04:34:31,GET /wp-content/uploads/2021/01/Blogs-fn-1.jpg HTTP/2.0,200.0,847439.0,https://www.smart-tbk.com/biofuel-sumber-energi-alternatif/,"Mozilla/5.0 (Linux; Android 10; CPH2185) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Mobile Safari/537.36",TLSv1.3,,,0.0,,0.0,NC:000000,UP:-DT
56,120.188.92.41,www.smart-tbk.com,2022-10-06 04:34:31,GET /wp-content/themes/gar-mdi/assets/img/ic_times_grey.svg HTTP/2.0,200.0,298.0,https://www.smart-tbk.com/biofuel-sumber-energi-alternatif/,"Mozilla/5.0 (Linux; Android 10; CPH2185) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Mobile Safari/537.36",TLSv1.3,,,0.0,,0.0,NC:000000,UP:-DT
58,120.188.92.41,www.smart-tbk.com,2022-10-06 04:34:31,GET /wp-content/uploads/2021/09/internship.png HTTP/2.0,200.0,9160.0,https://www.smart-tbk.com/biofuel-sumber-energi-alternatif/,"Mozilla/5.0 (Linux; Android 10; CPH2185) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Mobile Safari/537.36",TLSv1.3,,,0.0,,0.0,NC:000000,UP:-DT
60,120.188.92.41,www.smart-tbk.com,2022-10-06 04:34:31,GET /wp-content/uploads/2021/09/scholarship.png HTTP/2.0,200.0,8321.0,https://www.smart-tbk.com/biofuel-sumber-energi-alternatif/,"Mozilla/5.0 (Linux; Android 10; CPH2185) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Mobile Safari/537.36",TLSv1.3,,,0.0,,0.0,NC:000000,UP:-DT
62,120.188.92.41,www.smart-tbk.com,2022-10-06 04:34:31,GET /wp-content/uploads/2021/09/graduates-pro.png HTTP/2.0,200.0,8901.0,https://www.smart-tbk.com/biofuel-sumber-energi-alternatif/,"Mozilla/5.0 (Linux; Android 10; CPH2185) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Mobile Safari/537.36",TLSv1.3,,,0.0,,0.0,NC:000000,UP:-DT
64,120.188.92.41,www.smart-tbk.com,2022-10-06 04:34:31,GET /wp-content/uploads/2021/09/faq-palm.png HTTP/2.0,200.0,1862.0,https://www.smart-tbk.com/biofuel-sumber-energi-alternatif/,"Mozilla/5.0 (Linux; Android 10; CPH2185) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Mobile Safari/537.36",TLSv1.3,,,0.0,,0.0,NC:000000,UP:-DT
66,120.188.92.41,www.smart-tbk.com,2022-10-06 04:34:31,GET /wp-content/uploads/2021/09/support-palm.png HTTP/2.0,200.0,6506.0,https://www.smart-tbk.com/biofuel-sumber-energi-alternatif/,"Mozilla/5.0 (Linux; Android 10; CPH2185) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Mobile Safari/537.36",TLSv1.3,,,0.0,,0.0,NC:000000,UP:-DT
68,120.188.92.41,www.smart-tbk.com,2022-10-06 04:34:31,GET /wp-content/uploads/2021/09/prospective-suppliers.png HTTP/2.0,200.0,7940.0,https://www.smart-tbk.com/biofuel-sumber-energi-alternatif/,"Mozilla/5.0 (Linux; Android 10; CPH2185) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Mobile Safari/537.36",TLSv1.3,,,0.0,,0.0,NC:000000,UP:-DT
70,120.188.92.41,www.smart-tbk.com,2022-10-06 04:34:31,GET /wp-content/uploads/2021/09/financial-highlights.png HTTP/2.0,200.0,1734.0,https://www.smart-tbk.com/biofuel-sumber-energi-alternatif/,"Mozilla/5.0 (Linux; Android 10; CPH2185) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Mobile Safari/537.36",TLSv1.3,,,0.0,,0.0,NC:000000,UP:-DT
72,120.188.92.41,www.smart-tbk.com,2022-10-06 04:34:31,GET /wp-content/uploads/2021/09/sgx-fillings.png HTTP/2.0,200.0,8352.0,https://www.smart-tbk.com/biofuel-sumber-energi-alternatif/,"Mozilla/5.0 (Linux; Android 10; CPH2185) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Mobile Safari/537.36",TLSv1.3,,,0.0,,0.0,NC:000000,UP:-DT
74,120.188.92.41,www.smart-tbk.com,2022-10-06 04:34:31,GET /wp-content/uploads/2021/09/shareholder-information.png HTTP/2.0,200.0,11465.0,https://www.smart-tbk.com/biofuel-sumber-energi-alternatif/,"Mozilla/5.0 (Linux; Android 10; CPH2185) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Mobile Safari/537.36",TLSv1.3,,,0.0,,0.0,NC:000000,UP:-DT
76,120.188.92.41,www.smart-tbk.com,2022-10-06 04:34:31,GET /wp-content/uploads/2021/09/publications.png HTTP/2.0,200.0,6532.0,https://www.smart-tbk.com/biofuel-sumber-energi-alternatif/,"Mozilla/5.0 (Linux; Android 10; CPH2185) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Mobile Safari/537.36",TLSv1.3,,,0.0,,0.0,NC:000000,UP:-DT
78,120.188.92.41,www.smart-tbk.com,2022-10-06 04:34:31,GET /wp-content/uploads/2021/09/gallery.png HTTP/2.0,200.0,7632.0,https://www.smart-tbk.com/biofuel-sumber-energi-alternatif/,"Mozilla/5.0 (Linux; Android 10; CPH2185) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Mobile Safari/537.36",TLSv1.3,,,0.0,,0.0,NC:000000,UP:-DT
80,120.188.92.41,www.smart-tbk.com,2022-10-06 04:34:31,GET /wp-content/uploads/2021/09/meet-our-experts.png HTTP/2.0,200.0,8063.0,https://www.smart-tbk.com/biofuel-sumber-energi-alternatif/,"Mozilla/5.0 (Linux; Android 10; CPH2185) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Mobile Safari/537.36",TLSv1.3,,,0.0,,0.0,NC:000000,UP:-DT
82,120.188.92.41,www.smart-tbk.com,2022-10-06 04:34:31,GET /wp-content/uploads/2021/09/blogs.png HTTP/2.0,200.0,6506.0,https://www.smart-tbk.com/biofuel-sumber-energi-alternatif/,"Mozilla/5.0 (Linux; Android 10; CPH2185) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Mobile Safari/537.36",TLSv1.3,,,0.0,,0.0,NC:000000,UP:-DT
84,120.188.92.41,www.smart-tbk.com,2022-10-06 04:34:31,GET /wp-content/uploads/2021/09/press-releases.png HTTP/2.0,200.0,6697.0,https://www.smart-tbk.com/biofuel-sumber-energi-alternatif/,"Mozilla/5.0 (Linux; Android 10; CPH2185) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Mobile Safari/537.36",TLSv1.3,,,0.0,,0.0,NC:000000,UP:-DT
86,120.188.92.41,www.smart-tbk.com,2022-10-06 04:34:31,GET /wp-content/uploads/2021/09/food-nutrition-innovation.png HTTP/2.0,200.0,2933.0,https://www.smart-tbk.com/biofuel-sumber-energi-alternatif/,"Mozilla/5.0 (Linux; Android 10; CPH2185) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Mobile Safari/537.36",TLSv1.3,,,0.0,,0.0,NC:000000,UP:-DT
88,120.188.92.41,www.smart-tbk.com,2022-10-06 04:34:31,GET /wp-content/uploads/2021/09/biofuel.png HTTP/2.0,200.0,7152.0,https://www.smart-tbk.com/biofuel-sumber-energi-alternatif/,"Mozilla/5.0 (Linux; Android 10; CPH2185) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Mobile Safari/537.36",TLSv1.3,,,0.0,,0.0,NC:000000,UP:-DT
90,120.188.92.41,www.smart-tbk.com,2022-10-06 04:34:31,GET /wp-content/uploads/2021/09/oleochemicals.png HTTP/2.0,200.0,8088.0,https://www.smart-tbk.com/biofuel-sumber-energi-alternatif/,"Mozilla/5.0 (Linux; Android 10; CPH2185) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Mobile Safari/537.36",TLSv1.3,,,0.0,,0.0,NC:000000,UP:-DT
92,120.188.92.41,www.smart-tbk.com,2022-10-06 04:34:31,GET /wp-content/uploads/2021/09/food-services.png HTTP/2.0,200.0,2555.0,https://www.smart-tbk.com/biofuel-sumber-energi-alternatif/,"Mozilla/5.0 (Linux; Android 10; CPH2185) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Mobile Safari/537.36",TLSv1.3,,,0.0,,0.0,NC:000000,UP:-DT
94,120.188.92.41,www.smart-tbk.com,2022-10-06 04:34:31,GET /wp-content/uploads/2021/09/consumer-products.png HTTP/2.0,200.0,2601.0,https://www.smart-tbk.com/biofuel-sumber-energi-alternatif/,"Mozilla/5.0 (Linux; Android 10; CPH2185) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Mobile Safari/537.36",TLSv1.3,,,0.0,,0.0,NC:000000,UP:-DT
96,120.188.92.41,www.smart-tbk.com,2022-10-06 04:34:31,GET /wp-content/uploads/2021/09/sustainability-report.png HTTP/2.0,200.0,5803.0,https://www.smart-tbk.com/biofuel-sumber-energi-alternatif/,"Mozilla/5.0 (Linux; Android 10; CPH2185) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Mobile Safari/537.36",TLSv1.3,,,0.0,,0.0,NC:000000,UP:-DT
98,120.188.92.41,www.smart-tbk.com,2022-10-06 04:34:31,GET /wp-content/themes/gar-mdi/assets/fonts/arial.woff HTTP/2.0,200.0,525872.0,https://www.smart-tbk.com/wp-content/themes/gar-mdi/assets/css/style.css?v3.1,"Mozilla/5.0 (Linux; Android 10; CPH2185) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Mobile Safari/537.36",TLSv1.3,,,0.248,,0.0,NC:000000,UP:-DT
100,120.188.92.41,www.smart-tbk.com,2022-10-06 04:34:31,GET /wp-content/themes/gar-mdi/assets/fonts/arial-bold.woff HTTP/2.0,200.0,499908.0,https://www.smart-tbk.com/wp-content/themes/gar-mdi/assets/css/style.css?v3.1,"Mozilla/5.0 (Linux; Android 10; CPH2185) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Mobile Safari/537.36",TLSv1.3,,,0.248,,0.0,NC:000000,UP:-DT
102,120.188.92.41,www.smart-tbk.com,2022-10-06 04:34:31,GET /wp-content/themes/gar-mdi/assets/fonts/tahoma-bold.woff HTTP/2.0,200.0,431140.0,https://www.smart-tbk.com/wp-content/themes/gar-mdi/assets/css/style.css?v3.1,"Mozilla/5.0 (Linux; Android 10; CPH2185) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Mobile Safari/537.36",TLSv1.3,,,0.236,,0.0,NC:000000,UP:-DT
104,120.188.92.41,www.smart-tbk.com,2022-10-06 04:34:31,GET /wp-content/uploads/2021/09/certification.png HTTP/2.0,200.0,6709.0,https://www.smart-tbk.com/biofuel-sumber-energi-alternatif/,"Mozilla/5.0 (Linux; Android 10; CPH2185) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Mobile Safari/537.36",TLSv1.3,,,0.034,,0.0,NC:000000,UP:-DT
106,120.188.92.41,www.smart-tbk.com,2022-10-06 04:34:31,GET /wp-content/uploads/2021/09/responsible-production.png HTTP/2.0,200.0,7614.0,https://www.smart-tbk.com/biofuel-sumber-energi-alternatif/,"Mozilla/5.0 (Linux; Android 10; CPH2185) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Mobile Safari/537.36",TLSv1.3,,,0.034,,0.0,NC:000000,UP:-DT
108,120.188.92.41,www.smart-tbk.com,2022-10-06 04:34:31,GET /wp-content/uploads/2021/09/responsible-sourcing.png HTTP/2.0,200.0,8133.0,https://www.smart-tbk.com/biofuel-sumber-energi-alternatif/,"Mozilla/5.0 (Linux; Android 10; CPH2185) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Mobile Safari/537.36",TLSv1.3,,,0.034,,0.0,NC:000000,UP:-DT
110,120.188.92.41,www.smart-tbk.com,2022-10-06 04:34:31,GET /wp-content/uploads/2021/09/human-rights-labour.png HTTP/2.0,200.0,2266.0,https://www.smart-tbk.com/biofuel-sumber-energi-alternatif/,"Mozilla/5.0 (Linux; Android 10; CPH2185) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Mobile Safari/537.36",TLSv1.3,,,0.034,,0.0,NC:000000,UP:-DT
112,120.188.92.41,www.smart-tbk.com,2022-10-06 04:34:31,GET /wp-content/uploads/2021/09/partnership-membership.png HTTP/2.0,200.0,7732.0,https://www.smart-tbk.com/biofuel-sumber-energi-alternatif/,"Mozilla/5.0 (Linux; Android 10; CPH2185) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Mobile Safari/537.36",TLSv1.3,,,0.034,,0.0,NC:000000,UP:-DT
114,120.188.92.41,www.smart-tbk.com,2022-10-06 04:34:31,GET /wp-content/uploads/2021/09/comm-engagement.png HTTP/2.0,200.0,8206.0,https://www.smart-tbk.com/biofuel-sumber-energi-alternatif/,"Mozilla/5.0 (Linux; Android 10; CPH2185) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Mobile Safari/537.36",TLSv1.3,,,0.034,,0.0,NC:000000,UP:-DT
116,120.188.92.41,www.smart-tbk.com,2022-10-06 04:34:31,GET /wp-content/uploads/2021/09/climate-change.png HTTP/2.0,200.0,6537.0,https://www.smart-tbk.com/biofuel-sumber-energi-alternatif/,"Mozilla/5.0 (Linux; Android 10; CPH2185) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Mobile Safari/537.36",TLSv1.3,,,0.069,,0.0,NC:000000,UP:-DT
118,120.188.92.41,www.smart-tbk.com,2022-10-06 04:34:31,GET /wp-content/uploads/2021/09/sustainability-icon.png HTTP/2.0,200.0,1823.0,https://www.smart-tbk.com/biofuel-sumber-energi-alternatif/,"Mozilla/5.0 (Linux; Android 10; CPH2185) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Mobile Safari/537.36",TLSv1.3,,,0.069,,0.0,NC:000000,UP:-DT
120,120.188.92.41,www.smart-tbk.com,2022-10-06 04:34:31,GET /wp-content/uploads/2021/09/Group-3581.png HTTP/2.0,200.0,6376.0,https://www.smart-tbk.com/biofuel-sumber-energi-alternatif/,"Mozilla/5.0 (Linux; Android 10; CPH2185) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Mobile Safari/537.36",TLSv1.3,,,0.069,,0.0,NC:000000,UP:-DT
122,120.188.92.41,www.smart-tbk.com,2022-10-06 04:34:31,GET /wp-content/uploads/2021/09/Group-912.png HTTP/2.0,200.0,6888.0,https://www.smart-tbk.com/biofuel-sumber-energi-alternatif/,"Mozilla/5.0 (Linux; Android 10; CPH2185) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Mobile Safari/537.36",TLSv1.3,,,0.069,,0.0,NC:000000,UP:-DT
124,120.188.92.41,www.smart-tbk.com,2022-10-06 04:34:31,GET /wp-content/uploads/2021/09/Foundation.png HTTP/2.0,200.0,4030.0,https://www.smart-tbk.com/biofuel-sumber-energi-alternatif/,"Mozilla/5.0 (Linux; Android 10; CPH2185) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Mobile Safari/537.36",TLSv1.3,,,0.069,,0.0,NC:000000,UP:-DT
